date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:42	61416/61416	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22efe8-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/fonts/smartmed-icons.eot	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/fonts/smartmed-icons.eot	(from http://www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/css/smartmed-icons.min.css)
14:37:42	61224/61224	---M--	200	added ('OK')	font/ttf	etag:%22ef28-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/fonts/smartmed-icons.ttf	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/fonts/smartmed-icons.ttf	(from http://www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/css/smartmed-icons.min.css)
14:37:45	230958/230958	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223862e-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/fonts/smartmed-icons.svg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/fonts/smartmed-icons.svg	(from http://www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/css/smartmed-icons.min.css)
14:37:46	4976/4976	---M--	200	added ('OK')	image/png	etag:%221370-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/plugins/owl-carousel/owl.video.play.png	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/plugins/owl-carousel/owl.video.play.png	(from http://www.smartpixel.tech/smartmed/assets/plugins/owl-carousel/owl.carousel.min.css)
14:37:48	61300/61300	---M--	200	added ('OK')	font/woff	etag:%22ef74-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/fonts/smartmed-icons.woff	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/fonts/smartmed-icons.woff	(from http://www.smartpixel.tech/smartmed/assets/fonts/smartmed-icons/css/smartmed-icons.min.css)
14:37:50	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%22286ac-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.ttf	(from http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/css/font-awesome.min.css)
14:37:51	3019/3019	---M--	200	added ('OK')	image/png	etag:%22bcb-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/images/search.png	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/images/search.png	(from http://www.smartpixel.tech/smartmed/assets/css/custom.css)
14:37:52	281/281	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Nov%202020%2013:37:51%20GMT	http://www.smartpixel.tech/smartmed/assets/plugins/ytplayer/css/jquery.mb.ytplayer.min.css	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/plugins/ytplayer/css/jquery.mb.ytplayer.min.css	(from http://www.smartpixel.tech/smartmed/index-2.html)
14:37:53	3788/3788	---M--	200	added ('OK')	image/png	etag:%22ecc-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/images/logo.png	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/images/logo.png	(from http://www.smartpixel.tech/smartmed/index-2.html)
14:37:59	37434/37434	---M--	200	added ('OK')	image/jpeg	etag:%22923a-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/services/image-1.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/services/image-1.jpg	(from http://www.smartpixel.tech/smartmed/index-2.html)
14:38:06	41010/41010	---M--	200	added ('OK')	image/jpeg	etag:%22a032-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/services/image-2.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/services/image-2.jpg	(from http://www.smartpixel.tech/smartmed/index-2.html)
14:38:09	147050/147050	---M--	200	added ('OK')	image/jpeg	etag:%2223e6a-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/backgrounds/bg-1.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/backgrounds/bg-1.jpg	(from http://www.smartpixel.tech/smartmed/assets/css/custom.css)
14:38:09	281/281	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Nov%202020%2013:38:09%20GMT	http://www.smartpixel.tech/smartmed/assets/plugins/ytplayer/jquery.mb.ytplayer.min.js	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/plugins/ytplayer/jquery.mb.ytplayer.min.56.delayed	(from http://www.smartpixel.tech/smartmed/index-2.html)
14:38:10	1808/1808	---M--	200	added ('OK')	image/jpeg	etag:%22710-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/testimonials/image-1.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/testimonials/image-1.jpg	(from http://www.smartpixel.tech/smartmed/index-3.html)
14:38:11	1392/1392	---M--	200	added ('OK')	image/jpeg	etag:%22570-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/testimonials/image-2.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/testimonials/image-2.jpg	(from http://www.smartpixel.tech/smartmed/index-3.html)
14:38:11	1589/1589	---M--	200	added ('OK')	image/jpeg	etag:%22635-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/testimonials/image-3.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/testimonials/image-3.jpg	(from http://www.smartpixel.tech/smartmed/index-3.html)
14:38:12	1983/1983	---M--	200	added ('OK')	image/jpeg	etag:%227bf-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/testimonials/image-4.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/testimonials/image-4.jpg	(from http://www.smartpixel.tech/smartmed/index-3.html)
14:38:13	44231/44231	---M--	200	added ('OK')	image/jpeg	etag:%22acc7-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/services/image-3.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/services/image-3.jpg	(from http://www.smartpixel.tech/smartmed/index-2.html)
14:38:20	43860/43860	---M--	200	added ('OK')	image/jpeg	etag:%22ab54-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/about/image-1.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/about/image-1.jpg	(from http://www.smartpixel.tech/smartmed/about-2.html)
14:38:29	275755/275755	---M--	200	added ('OK')	image/jpeg	etag:%224352b-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/backgrounds/bg-2.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/backgrounds/bg-2.jpg	(from http://www.smartpixel.tech/smartmed/assets/css/custom.css)
14:38:30	272776/272776	---M--	200	added ('OK')	image/jpeg	etag:%2242988-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/backgrounds/bg-3.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/backgrounds/bg-3.jpg	(from http://www.smartpixel.tech/smartmed/assets/css/custom.css)
14:38:37	37246/37246	---M--	200	added ('OK')	image/jpeg	etag:%22917e-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/about/image-2.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/about/image-2.jpg	(from http://www.smartpixel.tech/smartmed/team.html)
14:38:45	208260/208260	---M--	200	added ('OK')	image/jpeg	etag:%2232d84-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/backgrounds/page-header-1.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/backgrounds/page-header-1.jpg	(from http://www.smartpixel.tech/smartmed/about.html)
14:38:53	47128/47128	---M--	200	added ('OK')	image/jpeg	etag:%22b818-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/blog/image-5.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/blog/image-5.jpg	(from http://www.smartpixel.tech/smartmed/news.html)
14:39:01	46317/46317	---M--	200	added ('OK')	image/jpeg	etag:%22b4ed-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/blog/image-6.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/blog/image-6.jpg	(from http://www.smartpixel.tech/smartmed/news.html)
14:39:05	275755/275755	---M--	200	added ('OK')	image/jpeg	etag:%224352b-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/backgrounds/page-header-2.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/backgrounds/page-header-2.jpg	(from http://www.smartpixel.tech/smartmed/services.html)
14:39:06	2240/2240	---M--	200	added ('OK')	image/jpeg	etag:%228c0-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/blog/blog-post/post-author.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/blog/blog-post/post-author.jpg	(from http://www.smartpixel.tech/smartmed/news-single.html)
14:39:07	2653/2653	---M--	200	added ('OK')	image/jpeg	etag:%22a5d-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/blog/blog-post/author-comment-1.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/blog/blog-post/author-comment-1.jpg	(from http://www.smartpixel.tech/smartmed/news-single.html)
14:39:07	2618/2618	---M--	200	added ('OK')	image/jpeg	etag:%22a3a-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/blog/blog-post/author-comment-2.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/blog/blog-post/author-comment-2.jpg	(from http://www.smartpixel.tech/smartmed/news-single.html)
14:39:08	44567/44567	---M--	200	added ('OK')	image/jpeg	etag:%22ae17-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/blog/image-7.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/blog/image-7.jpg	(from http://www.smartpixel.tech/smartmed/news.html)
14:39:20	339739/339739	---M--	200	added ('OK')	image/jpeg	etag:%2252f1b-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/backgrounds/page-header-3.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/backgrounds/page-header-3.jpg	(from http://www.smartpixel.tech/smartmed/team.html)
14:39:22	327520/327520	---M--	200	added ('OK')	image/jpeg	etag:%224ff60-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/backgrounds/page-header-4.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/backgrounds/page-header-4.jpg	(from http://www.smartpixel.tech/smartmed/news.html)
14:39:31	332957/332957	---M--	200	added ('OK')	image/jpeg	etag:%225149d-592241b9857c0%22	http://www.smartpixel.tech/smartmed/images/backgrounds/page-header-5.jpg	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/images/backgrounds/page-header-5.jpg	(from http://www.smartpixel.tech/smartmed/contact.html)
